dataset,seed,n_samples,group,S1,S1_conf
2012,100,64,Arrival Calendar,0.034059812608539845,0.06641272527950745
2012,100,64,Arrival Distribution,0.18517004132216008,0.14362001290863213
2012,100,64,Resource Calendars,0.5569645675406515,0.4990376026577294
2012,100,64,Resource Numbers,0.14721262791673617,0.28323198652858766
2012,100,64,Tasks and Resources Distributions,-0.01396606396008427,0.07309568891892093
2012,200,64,Arrival Calendar,0.045533727835455194,0.09269737192044174
2012,200,64,Arrival Distribution,0.1864089069793375,0.39183065616079876
2012,200,64,Resource Calendars,0.49605271171637333,0.2677351135912821
2012,200,64,Resource Numbers,-0.10411007486519165,0.18365898115533597
2012,200,64,Tasks and Resources Distributions,0.03597767505893209,0.03863759469264353
2012,300,64,Arrival Calendar,-0.03426074575474697,0.13624556174709063
2012,300,64,Arrival Distribution,-0.05956911233462284,0.2478286964904438
2012,300,64,Resource Calendars,0.46501641650251735,0.2344771581545334
2012,300,64,Resource Numbers,-0.0545446511132138,0.09552841943399099
2012,300,64,Tasks and Resources Distributions,0.028536825958055824,0.13949958106646354
