group,kpi_avg_ct,kpi_deviation,kpi_direction,kpi_rank,cc_overall_rank,sa_sobol_rank,sa_morris_rank,cc_NGD,cc_CFLD,cc_AED,cc_CED,cc_RED,cc_CAR,cc_CTD,cc_CWD
RC,8651.1,891.2,up,3,5,1,1,0.018212338330429987,0.043831859481326715,7.218486126295132,2.793977249337416,0.20615817493108185,7.322466666666666,0.3290666666666644,2.0872086969356918
AD,6028.6,1731.3,down,1,1,2,2,0.01839052953499327,0.04431584283624707,120.39925762527876,0.4701765229506205,0.27931099423276184,119.35653333333333,0.47659999999999986,0.33518444600353436
RN,7811.3,51.4,up,5,4,5,3,0.01881503612635437,0.04470227146936423,11.640412733942616,0.30741594192286403,0.08789745902005405,12.683200000000001,0.09973333333333331,0.2534758071064652
TR,7895.8,135.8,up,4,3,6,5,0.01869198226709764,0.04636987625392717,11.739406837887168,0.27998428776244777,0.13833605380227995,12.803666666666667,0.15506666666666583,0.24569816044781387
AC,6421.5,1338.5,down,2,2,3,4,0.016320374949511378,0.04340496458445524,44.31252997782013,0.5382619865843636,0.32074798782448544,45.562466666666666,0.41506666666666603,0.5260544140958158
