group,kpi_avg_ct,kpi_deviation,kpi_direction,kpi_rank,cc_overall_rank,sa_sobol_rank,sa_morris_rank,cc_NGD,cc_CFLD,cc_AED,cc_CED,cc_RED,cc_CAR,cc_CTD,cc_CWD
RC,34123.2,7838.3,up,1,3,1,1,0.015314906290568179,0.012147166167166167,185.75464731668953,0.2695058686786206,1.2583534746798533,188.8954666666667,2.2567999999999993,0.285513016989896
AD,25396.6,888.4,down,3,1,3,3,0.012967800486583551,0.009682003367003367,949.9346857464715,0.21795592537210953,0.2494556718149277,946.8515333333334,0.37999999999999967,0.20096920076397337
RN,25804.4,480.6,down,5,4,4,4,0.012495310173195781,0.009324255744255744,157.41023042869276,0.1551108155705352,0.3227158911099824,161.07000000000002,0.6009333333333329,0.1510025470927171
TR,26802.0,517.0,up,4,5,5,5,0.01141710828096731,0.009602826247826247,87.39516336190502,0.16375261858342463,0.3066831057778997,80.07386666666666,0.46093333333333275,0.1623997322656141
AC,25145.4,1139.5,down,2,2,2,2,0.01158905353480792,0.009135886890886891,519.1512578748076,0.21796708857519465,0.2769438998206965,533.3398,0.4626666666666655,0.20716573258602922
