dataset,seed,n_samples,group,S1,S1_conf,ST,ST_conf
production,100,1024,Arrival Calendar,-0.0034058973865404834,0.018400950747115327,0.39136981178586056,0.8855169403905896
production,100,1024,Arrival Distribution,0.0002296514100869136,0.025796535828702016,0.6104287358862927,1.0439971239862271
production,100,1024,Resource Calendars,0.1774646075356618,0.27322772720820043,1.712959110478998,2.6947853574783753
production,100,1024,Resource Numbers,-0.0071436344470427885,0.0553197854377311,2.5258354286733264,5.117864585544881
production,100,1024,Tasks and Resources Distributions,0.001995736865080688,0.006526519601720364,0.06426509614022213,0.08568982000312417
production,200,1024,Arrival Calendar,-0.00015711470774164762,0.02205199888014658,0.24228440562329678,0.9384506491635239
production,200,1024,Arrival Distribution,-0.005374216850586806,0.029530407712638547,0.7286573643585326,2.141094575283043
production,200,1024,Resource Calendars,0.1920696826433043,0.3910731157501624,2.8201225384500423,18.91505292282919
production,200,1024,Resource Numbers,0.023061042788114654,0.10665651332470816,0.6487843979868908,2.67472919863039
production,200,1024,Tasks and Resources Distributions,0.0004445146637548592,0.008562810309134822,0.06156788985834506,0.1824054832978722
production,300,1024,Arrival Calendar,-0.0003482318536570873,0.006313021850464613,0.26543550970764923,0.5078064900645414
production,300,1024,Arrival Distribution,0.022722030264400398,0.0299680946756727,0.161369766531338,0.2503717767703846
production,300,1024,Resource Calendars,0.08372483197336623,0.05467400803057471,0.3786204634371628,0.6353316677150312
production,300,1024,Resource Numbers,0.06818770104485809,0.14275512162678103,1.02480242562016,2.4477021119922364
production,300,1024,Tasks and Resources Distributions,0.003353337900528229,0.005079551566084764,0.12358284028389176,0.2089416448765134
production,100,2048,Arrival Calendar,-0.0051729676783472695,0.012581996993359797,0.3144819349472185,0.3496091961999023
production,100,2048,Arrival Distribution,0.022980766301723854,0.0509411349130264,2.6063159456601337,4.695421180754943
production,100,2048,Resource Calendars,0.20523884768825093,0.16623045735081288,1.5670293113647908,1.2360834468003088
production,100,2048,Resource Numbers,-0.02205022012676178,0.04295214620076034,3.260247585198871,3.7506568467935066
production,100,2048,Tasks and Resources Distributions,-0.00737437761332127,0.018266451973754764,0.8355580987105196,1.5871317864640309
production,200,2048,Arrival Calendar,-0.0009229931692140712,0.007194275178499318,0.3344740801131046,0.5399545730142586
production,200,2048,Arrival Distribution,0.00040540416409129063,0.008253773100488061,0.5258981960797557,0.8151983052445484
production,200,2048,Resource Calendars,0.0824649517060813,0.09367370806374407,0.5305348570525393,0.7341657723587703
production,200,2048,Resource Numbers,0.015584148772586548,0.03620987242566751,0.6020472523410526,0.962913787959563
production,200,2048,Tasks and Resources Distributions,-0.0002489224708056331,0.008339949710959287,0.39059362913574325,1.1525818647006187
production,300,2048,Arrival Calendar,0.0007680653416401981,0.006137756003877828,0.24604748686986652,0.3309594707406792
production,300,2048,Arrival Distribution,0.006394328668170782,0.01487901372904204,0.8811737255701153,1.905574520663335
production,300,2048,Resource Calendars,0.10033071066675969,0.08121757857235218,0.37593491423803327,0.4306582556881888
production,300,2048,Resource Numbers,0.05743402509280321,0.08360716537936796,1.1680244625433156,2.2948093554930815
production,300,2048,Tasks and Resources Distributions,0.00401321544460182,0.005183395085675554,0.1526529993191322,0.1984769696985289
production,100,512,Arrival Calendar,-0.0032414558118941035,0.08016447114803893,0.28437334039497925,3.0060705246794317
production,100,512,Arrival Distribution,0.0035146498479553825,0.04543268985715137,0.2834965359749243,1.4949803045479633
production,100,512,Resource Calendars,0.1379978166030727,0.8998258816724323,1.1272882461734381,10.014846813641432
production,100,512,Resource Numbers,-0.012990235252614547,0.15782456731948946,1.485983963750852,13.68842517913038
production,100,512,Tasks and Resources Distributions,0.002772749194611337,0.016976831696703814,0.05297594425199227,0.21005733176175573
production,200,512,Arrival Calendar,-0.01831853110520842,0.09118224400218622,1.871047067462378,3.5058990878761382
production,200,512,Arrival Distribution,0.019465639065140605,0.04469512998555087,1.3031437994118606,2.0698783312264357
production,200,512,Resource Calendars,0.5119734793968218,0.7991575321266031,15.864174823343019,39.73841255425231
production,200,512,Resource Numbers,0.004164874833632616,0.04184569849722152,4.494946329126326,13.517619420796482
production,200,512,Tasks and Resources Distributions,-0.005702943720187365,0.020856275801809335,0.40995510293253185,0.3788244301917459
production,300,512,Arrival Calendar,-0.00043451448407045754,0.022989609505439046,0.04285950932952374,0.5033835938784285
production,300,512,Arrival Distribution,0.02219155573676649,0.04184495792491362,0.0330556648077332,0.2779559280545612
production,300,512,Resource Calendars,0.0771390200253739,0.3524792736242414,0.1740427493624409,1.957472074608577
production,300,512,Resource Numbers,0.027976186461376666,0.6430865720184877,1.0703342450169597,22.907096611915343
production,300,512,Tasks and Resources Distributions,0.001519301263325622,0.005788048379783997,0.029328829067849328,0.23911967591472122
