dataset,method,sample_size,seed_a,seed_b,n_params,n_concordant,n_pairs_compared,n_pairs_total,agreement
production,morris,256,MEAN,,5,,,,0.8000000000000002
production,morris,512,100,200.0,5,9.0,10.0,10.0,0.9
production,morris,512,100,300.0,5,8.0,10.0,10.0,0.8
production,morris,512,200,300.0,5,9.0,10.0,10.0,0.9
production,morris,512,MEAN,,5,,,,0.8666666666666667
production,sobol,512,100,200.0,5,9.0,10.0,10.0,0.9
production,sobol,512,100,300.0,5,10.0,10.0,10.0,1.0
production,sobol,512,200,300.0,5,9.0,10.0,10.0,0.9
production,sobol,512,MEAN,,5,,,,0.9333333333333332
production,sobol,1024,100,200.0,5,8.0,10.0,10.0,0.8
production,sobol,1024,100,300.0,5,9.0,10.0,10.0,0.9
production,sobol,1024,200,300.0,5,7.0,10.0,10.0,0.7
production,sobol,1024,MEAN,,5,,,,0.8000000000000002
production,sobol,2048,100,200.0,5,9.0,10.0,10.0,0.9
production,sobol,2048,100,300.0,5,9.0,10.0,10.0,0.9
production,sobol,2048,200,300.0,5,8.0,10.0,10.0,0.8
production,sobol,2048,MEAN,,5,,,,0.8666666666666667
datamining,morris,64,100,200,5,10.0,10.0,10.0,1.0
datamining,morris,64,100,300,5,10.0,10.0,10.0,1.0
datamining,morris,64,200,300,5,10.0,10.0,10.0,1.0
datamining,morris,64,MEAN,,5,,,,1.0
datamining,morris,128,100,200,5,10.0,10.0,10.0,1.0
datamining,morris,128,100,300,5,10.0,10.0,10.0,1.0
datamining,morris,128,200,300,5,10.0,10.0,10.0,1.0
datamining,morris,128,MEAN,,5,,,,1.0
datamining,morris,256,100,200,5,10.0,10.0,10.0,1.0
datamining,morris,256,100,300,5,10.0,10.0,10.0,1.0
datamining,morris,256,200,300,5,10.0,10.0,10.0,1.0
datamining,morris,256,MEAN,,5,,,,1.0
datamining,morris,512,100,200,5,10.0,10.0,10.0,1.0
datamining,morris,512,100,300,5,10.0,10.0,10.0,1.0
datamining,morris,512,200,300,5,10.0,10.0,10.0,1.0
datamining,morris,512,MEAN,,5,,,,1.0
datamining,sobol,512,100,200,5,10.0,10.0,10.0,1.0
datamining,sobol,512,100,300,5,10.0,10.0,10.0,1.0
datamining,sobol,512,200,300,5,10.0,10.0,10.0,1.0
datamining,sobol,512,MEAN,,5,,,,1.0
datamining,sobol,1024,100,200,5,10.0,10.0,10.0,1.0
datamining,sobol,1024,100,300,5,10.0,10.0,10.0,1.0
datamining,sobol,1024,200,300,5,10.0,10.0,10.0,1.0
datamining,sobol,1024,MEAN,,5,,,,1.0
datamining,sobol,2048,100,200,5,10.0,10.0,10.0,1.0
datamining,sobol,2048,100,300,5,10.0,10.0,10.0,1.0
datamining,sobol,2048,200,300,5,10.0,10.0,10.0,1.0
datamining,sobol,2048,MEAN,,5,,,,1.0
