dataset,gw,n_samples,seed,group,rank
2017,without,2048,100,Tasks and Resources Distributions,5.0
2017,without,2048,200,Arrival Calendar,3.0
2017,without,2048,200,Arrival Distribution,2.0
2017,without,2048,200,Resource Calendars,1.0
2017,without,2048,200,Resource Numbers,4.0
2017,without,2048,200,Tasks and Resources Distributions,5.0
2017,without,2048,300,Arrival Calendar,3.0
2017,without,2048,300,Arrival Distribution,2.0
2017,without,2048,300,Resource Calendars,1.0
2017,without,2048,300,Resource Numbers,4.0
2017,without,2048,300,Tasks and Resources Distributions,5.0
datamining,with,512,100,Arrival Calendar,2.0
datamining,with,512,100,Arrival Distribution,3.0
datamining,with,512,100,Gateways,4.0
datamining,with,512,100,Resource Calendars,1.0
datamining,with,512,100,Resource Numbers,5.0
datamining,with,512,100,Tasks and Resources Distributions,6.0
datamining,with,512,200,Arrival Calendar,2.0
datamining,with,512,200,Arrival Distribution,4.0
datamining,with,512,200,Gateways,3.0
datamining,with,512,200,Resource Calendars,1.0
datamining,with,512,200,Resource Numbers,5.0
datamining,with,512,200,Tasks and Resources Distributions,6.0
datamining,with,512,300,Arrival Calendar,2.0
datamining,with,512,300,Arrival Distribution,4.0
datamining,with,512,300,Gateways,3.0
datamining,with,512,300,Resource Calendars,1.0
datamining,with,512,300,Resource Numbers,5.0
datamining,with,512,300,Tasks and Resources Distributions,6.0
datamining,with,1024,100,Arrival Calendar,2.0
datamining,with,1024,100,Arrival Distribution,3.0
datamining,with,1024,100,Gateways,4.0
datamining,with,1024,100,Resource Calendars,1.0
datamining,with,1024,100,Resource Numbers,5.0
datamining,with,1024,100,Tasks and Resources Distributions,6.0
datamining,with,1024,200,Arrival Calendar,2.0
datamining,with,1024,200,Arrival Distribution,4.0
datamining,with,1024,200,Gateways,3.0
datamining,with,1024,200,Resource Calendars,1.0
datamining,with,1024,200,Resource Numbers,5.0
datamining,with,1024,200,Tasks and Resources Distributions,6.0
datamining,with,1024,300,Arrival Calendar,2.0
