dataset,seed,n_samples,group,S1,S1_conf
2012,100,512,Arrival Calendar,0.016438585,0.032202653
2012,100,512,Arrival Distribution,0.201016948,0.105643918
2012,100,512,Resource Calendars,0.395112652,0.144806248
2012,100,512,Resource Numbers,0.001398356,0.071815909
2012,100,512,Tasks and Resources Distributions,0.037779571,0.032601081
2012,200,512,Arrival Calendar,0.013194513,0.055453665
2012,200,512,Arrival Distribution,0.075156605,0.084846671
2012,200,512,Resource Calendars,0.313793309,0.091163628
2012,200,512,Resource Numbers,-0.012108031,0.076136707
2012,200,512,Tasks and Resources Distributions,0.189255067,0.178418752
2012,300,512,Arrival Calendar,0.00325974,0.039889548
2012,300,512,Arrival Distribution,0.06607385,0.111022119
2012,300,512,Resource Calendars,0.363899752,0.11904646
2012,300,512,Resource Numbers,0.007098952,0.050518589
2012,300,512,Tasks and Resources Distributions,-0.023593792,0.110769523
2012,100,1024,Arrival Calendar,0.028016274,0.027745473
2012,100,1024,Arrival Distribution,0.164868809,0.071661211
2012,100,1024,Resource Calendars,0.362841787,0.08542225
2012,100,1024,Resource Numbers,0.022917468,0.048226997
2012,100,1024,Tasks and Resources Distributions,0.024688688,0.020953343
2012,200,1024,Arrival Calendar,0.014791892,0.033417413
2012,200,1024,Arrival Distribution,0.079252429,0.070424739
2012,200,1024,Resource Calendars,0.327873721,0.088813406
2012,200,1024,Resource Numbers,-0.013417684,0.040120533
2012,200,1024,Tasks and Resources Distributions,0.115360827,0.110015956
2012,300,1024,Arrival Calendar,-7.42E-05,0.023458154
2012,300,1024,Arrival Distribution,0.110477871,0.075467486
2012,300,1024,Resource Calendars,0.321161923,0.104520914
2012,300,1024,Resource Numbers,0.007292237,0.033080176
2012,300,1024,Tasks and Resources Distributions,0.011790824,0.050502332
2012,100,2048,Arrival Calendar,0.023893919,0.027229316
2012,100,2048,Arrival Distribution,0.13696652,0.056610682
2012,100,2048,Resource Calendars,0.3818142,0.069816675
2012,100,2048,Resource Numbers,0.011822888,0.040061688
2012,100,2048,Tasks and Resources Distributions,0.021993841,0.025898783
2012,200,2048,Arrival Calendar,0.010803637,0.026410745
2012,200,2048,Arrival Distribution,0.097306374,0.057618619
2012,200,2048,Resource Calendars,0.342541696,0.06842334
2012,200,2048,Resource Numbers,0.016526853,0.036600668
2012,200,2048,Tasks and Resources Distributions,0.080960455,0.082012409
2012,300,2048,Arrival Calendar,-0.004934715,0.014498419
2012,300,2048,Arrival Distribution,0.069860396,0.061109059
2012,300,2048,Resource Calendars,0.255594475,0.083900195
2012,300,2048,Resource Numbers,-0.012188238,0.031643728
2012,300,2048,Tasks and Resources Distributions,0.023778459,0.01922709
