dataset,seed,n_samples,name,mu_star,mu_star_conf
datamining,300,32,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2334.737983542285,552.450183789374
datamining,300,32,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,971.5306550938243,267.9768221203129
datamining,300,32,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,761.0249179829972,249.70988540535376
datamining,300,32,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,908.911562759114,316.59239419075703
datamining,300,32,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8820.327421708222,2500.100325588748
datamining,300,32,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,972.3232821736563,301.9850429204199
datamining,100,64,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,821.1005053457031,196.8830920083433
datamining,100,64,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,660.3940900572758,127.36585495935032
datamining,100,64,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4000.3321104760603,1023.5425479409213
datamining,100,64,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,1917.5868884187425,374.09553945621536
datamining,100,64,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1163.560858775424,242.1707812416825
datamining,100,64,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1046.6783698840693,198.41163029268108
datamining,100,64,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,982.6099424891696,200.61130837502233
datamining,100,64,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8285.862566654558,1632.9647224399812
datamining,100,64,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,993.7809299518929,230.3961773942683
datamining,200,64,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,850.9417126984622,204.94191815620985
datamining,200,64,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,662.0070032997334,104.09272714571634
datamining,200,64,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4575.419837533937,978.9060106120043
datamining,200,64,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2007.359255405574,395.34069216814254
datamining,200,64,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1017.3279907717224,217.30654100871882
datamining,200,64,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,870.9545425317493,192.79343599594876
datamining,200,64,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,1383.777144184721,285.69187202687147
datamining,200,64,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,6286.337034547991,1821.1302704160967
datamining,200,64,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,857.4527645893771,192.63466722324995
datamining,300,64,Gateway node_1fb407b7-5020-4c91-8d3b-93ab7e13a823,763.5283918794756,147.6045516183258
datamining,300,64,Gateway node_26d2c385-a8a9-4e78-bc42-035d9a4c63e4,541.6880214234751,105.56600637565836
datamining,300,64,Gateway node_59eab35e-9bea-427d-b37e-15046c829a35,4050.431827720456,1038.328725180176
datamining,300,64,Gateway node_7e5a6199-26dd-4288-919f-693d2126f595,2348.8835610004785,379.788631287676
datamining,300,64,Gateway node_9be0615e-0389-4106-8fb5-7b18f2d3f28b,1052.5292974388717,186.9794712635846
datamining,300,64,Gateway node_e44ddc58-1d7d-4027-8046-267d5d63ea20,1176.1693019288175,225.02788342426135
datamining,300,64,Gateway node_e8f4010e-3227-44dc-96b5-f11fc1d2570e,1111.082496223556,255.3476936657964
datamining,300,64,Gateway node_ea85be96-adcf-4e46-9fa7-097c6f99d2f7,8249.80651413762,1545.7437764388146
datamining,300,64,Gateway node_ebbfd23a-4b1f-4055-994c-e30082d2134a,982.8322900101612,196.70635187091835
