model,seed,avg_cycle_time_sec,avg_waiting_time_sec,avg_processing_time_sec,throughput
original,1,6829.96,,,3000
original,2,6828.98,,,3000
original,3,7175.04,,,3000
original,4,6926.56,,,3000
original,5,6610.34,,,3000
RC,1,8555.19,,,3000
RC,2,9127.49,,,3000
RC,3,8874.14,,,3000
RC,4,8384.13,,,3000
RC,5,8604.25,,,3000
AD,1,5856.47,,,3000
AD,2,5828.54,,,3000
AD,3,5692.36,,,3000
AD,4,5747.06,,,3000
AD,5,6292.95,,,3000
RN,1,6776.16,,,3000
RN,2,6923.48,,,3000
RN,3,7122.52,,,3000
RN,4,6688.82,,,3000
RN,5,6793.12,,,3000
TR,1,6578.18,,,3000
TR,2,6570.39,,,3000
TR,3,6546.55,,,3000
TR,4,6589.67,,,3000
TR,5,6921.19,,,3000
AC,1,6249.84,,,3000
AC,2,6213.08,,,3000
AC,3,6199.8,,,3000
AC,4,6382.53,,,3000
AC,5,6353.46,,,3000
