model,seed,avg_cycle_time_sec,avg_waiting_time_sec,avg_processing_time_sec,throughput
original,1,151246.68,,,3000
original,2,152217.32,,,3000
original,3,149930.28,,,3000
original,4,149033.99,,,3000
original,5,158547.72,,,3000
RC,1,173755.63,,,3000
RC,2,174458.9,,,3000
RC,3,179798.37,,,3000
RC,4,167394.61,,,3000
RC,5,168860.01,,,3000
AD,1,117854.46,,,3000
AD,2,128271.07,,,3000
AD,3,123652.69,,,3000
AD,4,135476.43,,,3000
AD,5,133592.73,,,3000
RN,1,114528.01,,,3000
RN,2,122259.91,,,3000
RN,3,118977.11,,,3000
RN,4,114897.12,,,3000
RN,5,116395.34,,,3000
TR,1,118360.48,,,3000
TR,2,114268.51,,,3000
TR,3,119148.09,,,3000
TR,4,120678.4,,,3000
TR,5,122577.61,,,3000
AC,1,168698.23,,,3000
AC,2,161704.97,,,3000
AC,3,167964.0,,,3000
AC,4,167789.48,,,3000
AC,5,170201.91,,,3000
